Epoch,Accuracy,Orthogonality_Loss
1,0.44150110375275936,0.0002953467918238963
2,0.5501243911839938,6.674994765337152e-07
3,0.4940607589614212,2.3445605293615177e-06
4,0.5606363222257261,1.2060631726355756e-06
5,24.548862959458987,1.949994475826893e-06
6,71.30593223308455,4.0352031098098784e-07
7,87.51883387644978,1.2931184032529407e-07
8,93.53516240933459,9.25208922270765e-08
9,96.01247415816952,5.296722453509249e-08
10,97.58225586040156,2.989754721090292e-08
11,98.25501944707243,1.8109553751610167e-08
12,98.9312870107572,1.3590216453716951e-08
13,98.72104838992256,7.506772131235198e-09
14,98.97333473492414,6.952615554888688e-09
15,99.057430183258,8.793577751138526e-09
